Content,Name,Liked
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
就这，我还以为是什么奖呢？还以为这个是得了奥斯卡还是诺贝尔啊，是教师资格证啊，中国不是有一部分人都有吗，就这给他整破防了，我真不理解啊，[汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R][汗颜R],guyyyy,0
